,post1,post2,post3,post4,post5
10,No amount of training can help someone when they think turning off a circuit breaker is the solution to an alarm.,Anytime these assholes appear they should get their asses kicked by the community.,"Anyone else getting sick and tired of headlines with Texas or Florida in them?

The level of stupid governing the states is bound to have consequences.","Isn't it great to see our constitutional voice being eroded on a daily basis?!

&#x200B;

/s","The school administration regarded each female student as a “fragile vessel””. Hey, dudes, this is 2022, not the 1970s."
11,The literal real life Homer Simpson,"This is just so upsetting to read.  As someone who lived in West Palm, FL and dealt with these particular Nazis consistently, and was affected so much that I left my home and moved to another state for safety and community, I am just furious to see this.

I have worked extensively with multiple Jewish and Interfaith non-profits and political organizations and have certifications from Tel Aviv University and Yad Vashem specifically regarding antisemitism/Holocaust atrocities.  I never imagined so much of my time would be spent fighting literal Nazis.  The tactics they use are straight from Hitler’s playbook.

The ONLY thing that gives me slight hope is the way Georgia responded.  Not the state, but the people. Georgians did not stay quiet about this.  Still, when you uproot your life because of these conditions and move to a place you feel safer and then a month later see them at your doorstep again, you get livid.

I am not black, I am not Hispanic, I am not gay, I am not Asian, and so forth.  But I will ALWAYS stand up for those issues of equality because it’s the morally right thing to do.  As Jewish people, we are outnumbered constantly and if we do not speak up for injustices to others than who will help speak up for us?

This isn’t my opinion, it’s my culture: tikkun olam has come to refer to the pursuit of social justice or ""the establishment of Godly qualities throughout the world"" based on the idea that ""Jews bear responsibility not only for their own moral, spiritual, and material welfare, but also for the welfare of society at large"".  This does not mean imposing a Jewish world, it means making sure both my Jewish and non-Jewish neighbors don’t have to live in fear of hate.

To anyone who makes any justification for this, condones it, lessens it, or more realistically normalizes it….do better.","Don't worry, it's just another left wing hoax.  Go to the pond and burn some books. God will protect you.","It is absolutely mindboggling to me that there are nazis openly waving their flag in front of jewish institutions that go free, but a guy who said dumbass is arrested. There is no standard.",That makes penis inspection day much harder.
12,He should have just blamed Tibor.,">Georgia Gov. Brian Kemp: ‘There is absolutely no place for this hate and antisemitism in our state’

Apparently there is and has been for some time. Condemning is not enough, what action is being taken?","Goddamn can you two states not suck for like, five minutes?",What kind of backyard yokels are running things down there?,In 1971 I fought my 8th grade principle in California to have the right to wear pants to school. I won. It was quite the scene and thanks to my Mom and Dad for supporting us! Who would have thought we would need to be having this conversation again now.
13,"*Morty flips a switch*

Rick: ""What was THAT?""",Protesting what? Jews right to exist? It’s not a protest. It’s intimidation,"Two dipshit states trying to run the US into the ground.

&#x200B;

 I am sure the are going to obey medical advice./s",Not only a dumbass but a fragile dumbass at that,"“Chivalry”… right. 

I do recall when Jesus told the men who were offended by women’s dress to pluck out their own eyes. 

Perhaps this school’s leadership needs to ensure they have their calendars set to 2023 and not 1823."
14,My old lab supervisor had so much anxiety over his sample freezer that contained most of his life's work. He was constantly going back to the lab on evenings and weekends to make sure it was closed properly. I guarantee this story is haunting him.,This isn't a protest. This is a threat.,I’m sure they will quickly assemble a team of experts and promote sensible countermeasures and not do something unbelievably stupid.,"So there is systematic corruption and illegal behavior on a widespread level far beyond the headline making stories which are plentiful in and of themselves.

It's almost like All Cops Are...",Every now and again the supreme court does rule in favor of common sense.
15,This reminds me of all the research animals that UT lost during hurricane Alicia in the 1980’s. At that time all of the universities/hospitals kept all the research animals in the Houston Medical Centers basements. Multiple universities and hospitals lost so much. MD Anderson Cancer Hospital lost years of research. They all keep the research animals and materials on the top floors now.,Nazis deserve no less than the same treatment that we gave them in the 40s,"Well, they want to go back to the ""good old days"". Next stop, polio.","There are a number of approaches to curbing these kinds of police abuses.  One I think about is this:  Pass a federal statute that makes untrue claims of legal authority illegal.

We don’t allow citizens to impersonate police officers.  That *identical logic* should also apply to police officers, that is, make it a criminal infraction to represent that you have an authority that you do not actually have.  I am not talking about false statements made as part of an undercover investigation.  I am talking specifically about officers misleading a person to believe that the officer has an authority that they do not.

I am not a police officer, and it is illegal for me to detain you under the guise that I have the authority to do so, *because I don’t.*  Likewise, if I *was* a police officer, it should still be illegal for me to detain you under the guise that I have authority to do so, when I don’t.","I had to wear skirts to public school until 10th grade. Even in the winter, with snow blowing up our skirts while waiting for the school bus. Fuck that noise."
16,"What  ..a .... Fucknut.

I have been in that kinda job, and the one thing that i _instictively_ know is that if an alarm is going off, if any random ""thing"" is giving off any kinda constant weird beeping, I'll bloody well find\call someone or my immediate superior and ask for advice or instruction.

Im not gonna fuck about with anything unless i _know what I'm doing_ .","The neighbors, employers, and communies of these Nazis should be informed.",Abbot and Desantis will blame the Democrats,"I was once arrested for calling an officer a jerk in Mobile, AL",Shame on them conservatives trying to groom those kids into suggestive clothing.
17,guy this is why the students clean the classroom and the labs. they know what the hell is in there and what is going on. don't let some dude or lady come clean your network closet or server room.,"""Protesters"" my ass. Nazi flags are not symbols of protest, they are threats of violence. These are domestic terrorists and should be dealt with as such.",Your representatives are failing you!,Finally put a stop to Red Forman.,Why are conservatives so dead set on controlling every aspect of our lives?
18,"Janitors are the eyes and ears of this institution. Unfortunately, they were not the brains.","I wonder how many of these Nazis have grandparents that died killing Nazis and would be utterly ashamed of what their family name has become. The only good Nazi, as they say…","Soo weird, since those two states are so on the ball with communicable disease control. 


/s","> It wasn’t the wisest place for Kenneth McDonald to do what he did.  
  
Sure, it’s *unwise* to suspect law enforcement are anything but petty and vindictive criminals.","Funny.

Conservatives: girls must cover up because they are a distraction to boys.

Also Conservatives: wear skirts"
19,"People will go to ridiculous extremes to silence annoying noises. Retired trucker, I’ve read in the trade press about reefer units being shut off because the driver in the next space didn’t like the noise.

Back in the steam era, the design of tamper resistant safety valves was an art form. One common design was a double valve, where tying down one side would open the other. The valve was a combined “let out excess steam to keep the pressure at a safe level” device and an audible alarm telling the operator that the boiler was making more steam than needed so they should reduce the amount of fuel they were feeding it. Quite literally a “this device is here to keep the boiler from exploding and killing you” device, but operators would try to silence it due to the noise.

Someone needs to keep that damn chicken quiet so it doesn’t alert the North Koreans to our presence.","I'm all ready to take a sharpie to my baseball bat and write JEW BEAR. Then take a stroll to the Nazi corner of my town, when one pops up.",Got to be a vaccine for that.   Surely.,"...proving beyond any shadow of a doubt that he (the officer) was, in fact, a dumbass.",Will they allow boys to wear kilts? Asking for a friend w bagpipes
20,I worked at a pizza place and we had one of these freezers. I dunno where the owner found it but we needed a freezer for the frozen pizza dough we got in. We kept it in dry storage and fuck that things beeped all the damn time. It was sooo annoying. I hated when the truck came. Spend an hour in there cleaning and stacking boxes that fucker would not stop beeping.,“Protestors”?  Protesting the Jewish faith?   I think there is a more appropriate word for what they are doing.,Didn’t they recently release a bunch of genetically modified mosquitoes in Florida?,Freedom of speech apparently,"What kind of creepy weirdo's want for force kids to wear skirts?

Oh yeah, republicans."
21,"If it’s really 20 years of scientific research, it’s worth far more than $1M",I wish the police would treat these people like they've historically treated left wing protesters.,"This is hands down the WORST comments section ive ever seen. There are __5__ malaria cases in hot southern states with lots of mosquitos, rare but not unheard of and already being tracked by the CDC because *they know to watch for it*. This is a blip on the radar that should be monitored, thats it, no crisis yet. It is not a statement about climate change, about politics, or the people living there. The article doesnt try to say any of these things.

And yet you vitriolic losers are spewing nothing but hate at strawmen you made yourselves, catastrophizing about climate change,  insulting whatever repulican politicians come to mind, and calling florida and texas third world countries. 

You were given some news, and decided to spin a toxic fantasy about your political enemies rather than evaluate it. Vile.","IIRC, cop maneuvered his car right up to the guy on the bike just so he could accuse him of obstructing his performance of duties. 

Really scummy move.","Insisting that girls wear skirts is creepy. Not much else to say about it. Why does an adult want to see young children in skirts? If they choose to wear trousers, let them. Indoctrination into obeying arbitrary orders starts young for most."
22,"I worked at a major university as a plumber. I had training to work around research facilities. “Those mice are worth more than you’ll ever make here, don’t open that door ever!” sticks in my mind.",“Protesters”. No…Nazis.,"Didn’t FL release a bunch of genetically modified mosquitos recently to prevent certain diseases, such as malaria?",It is better to let your suspect think you are a dumbass than to arrest them and remove all doubt.,"“Who do you think you are, Japan?”"
23,"lol this headline is so misleading, if you read the article you can see the janitor turned off the fridge by throwing the breaker it was connected to, thinking that it was off because of the beeps and he was turning it back on. he wasn't just annoyed, he was trying to help.","“Protestors with nazi flags”…
JUST CALL THEM WHAT THEY ARE: NAZIS!","TX and FL have short-sighted, partisan governors and legislators, but close to 50% of the people didn’t vote for them. Let us not forget that in “Democratic”, “blue” NY, Lee Zeldin got within sniffing distance of the governor’s mansion. Most states are truly purple when you look at vote counts in major elections.","First of all Phoenix police you are dumbasses.  Secondly, sticks and stones may break my bones but words can never hurt me.  Look into that.",Supreme Court PR working over time today
24,"I was working IT at a hospital and we found that every night one of the servers would unexpectedly reboot, was super baffling. Finally found out the janitor was either accidentally hitting the power switch or unplugging stuff while cleaning nightly","Traitors gather outside local community centre to harass and intimidate locals. 

There fixed it for you.",I kinda feel bad for malaria having to deal with Texans and Floridians.,I got arrested by the Phoenix police for calling them pigs. Fuck Phoenix cops.,"I'm weirdly on board for mandated school uniforms. Your clothes at school gets you put into groups real quick, at an early age.

Not arguing for gender specific uniforms, just pointing out one of the hardest things to deal with when you're a kid.

/was a poor kid."
25,"If someone else was confused, Rensselaer Polytechnic Institute in Troy, New York, where this accident happened, is not where the E. coli long-term evolution experiment (LTEE) is happening. That one is from Michigan State University.","They’re not protesting anything, they’re terrorists","Just as the climate scientist predicted it would.

Those guys might just know a thing or two.",This dumbass just proved his point,"Corporal punishment in schools and sexualized “girl costumes”

Conservatives invented grooming."
26,At least he wasn't working in a hospital.,I’m not one to choose violence but for nazis it’s the only choice.,*sigh* who had malaria in their bingo card ?,You can say shit on network tv. CNN has aired fucks. Why the Christ are they bleeping this out?,"If a charter school take public funding for any reason, it should have to be bound by more open rules of expression."
27,University should have had a remote monitoring system in place on the unit. Janitor should have kept his hands to himself.,In my day we just called them Nazis,"that's what happen when people stray further n further from science.

good luck believing in fairy men in the sky",Nothings more sensitive than a cops ego,"I went to a private school where our socks were dictated. We could wear any kind of socks at first. Then one dad/faculty member said the no-show socks showed too much leg. Then the full leg thick tights were too much leg. The regular above the ankle socks were bad. He wanted knee-high socks to fit into his fantasy, and that's what we ended up with. We all knew even as young teens this was for disgusting reasons."
28,"We had a Captain in the Army do this with a fridge full of flu vaccines (nasal spray). The next day they lined everyone up to get it before it went ""bad"". Yeah, he got promoted.",Where’s Indian Jones when you really need him?,"On the bright side, if the western world starts getting affected by it then maybe finally people will be motivated to actually eradicate this illness. We don’t care until it comes here.","In a response sent June 23, a department spokesperson emailed the following:  
“This incident was recently brought to the attention of those at the highest level of our department. As a result, an investigation has been initiated.""

It happened in August of 2022 and they are just now becoming aware of it?  I have every confidence that their 'investigation' will be comprehensive and unbiased. /s","Just to be clear, they are still okay making them carry their rapist’s baby to term in some states right?"
29,"The janitor definitely is in the wrong but it seems the University dropped the ball several times and failed to protect research contents. 

First, if samples were that sensitive and the freezer was recognized as not functioning correctly, why on earth would someone assume the freezer would hold after the initial temp fluctuations. The university should have called 24/7 repair immediately.

Second, Every medical or research clinic I worked at required redundant alarm systems. 1) local alarms on the fridge / freezer 2) wi-fi alarms which transmits alerts to certain individuals phones or emails. once that breaker flipped an alert would have been sent and calls to investigate may have prevented the loss. 

Also, we had back up generators for power outage (or red outlet), and standby coolers with ice packs or dry to keep contents at required temp.

Even with all the above aside, the importance of the situation seems to dictate either a sign on all power cut offs to the freezer (breaker included) or more responsible would have been to wait and discuss or call to talk to all individuals expected to have access.

Seems no emergency plans were in place, no redundant alarms, no back up systems or repair man on call, no protocol at all… save a hand written sign. 

To me, it seems the University’s errors are far more severe and holds most of the blame. Hope they recognize they should be more worried about in-house training then the training of a Janitor.","Those aren’t protesters with nazi flags, they’re Nazis with nazi flags.",Texas and Florida both have competent GOP governors. How did this happen?,"They didn’t just arrest him, they abused him, and the department found they did nothing wrong, even though their actions were against policy. This is the system working the way they designed it, as a boot in the face of anyone who might question their unchecked paramilitary power. Fuck these little bully boys","I feel like once you reach the point where you're arguing with the supreme court that your underage schoolgirls NEED to dress in skirts, you need to take a step back and reevaluate."
30,"Custodial staff are important. If 20 years of research and millions of dollars rest in the hands of custodial staff, maybe don’t outsource that role. Employ custodians directly and pay them a living wage with bennies.",Why hasn't Russia invaded Georgia yet in order to denazify it yet?,[deleted],Hope the citizens of Phoenix enjoy their tax dollars being paid to settle this guy's lawsuit. The cops were exactly what they were called oddly.,Dress codes don’t belong in public schools
31,Note to everyone here. Everyone is dumb and does not read signs or notes.,Used to be patriotic to hunt Nazis. Let’s run it back one more time shall we?,"Florida and Texas, together trying to take the US back into developing world status.","Fascist Cops act like Fascists. In other News, Summers in Arizona are hot.",Ya it's the books that are grooming kids. Take your kids out of public schools and send them to a charter school where we will force them to show their legs....for chivalry.
32,"No such thing as unskilled labor, am I right?",In 2023 smh. Nazis in 2023,Wonder what those two states have in common.. hmmm,Never tell a cop the truth.,"lmao dude. What century are we living in, and how far back do conservatives want to drag everyone"
33,We had maintenance workers toss our radio telescope off the roof. Now we can only look at half the sky because the building is in the way. They thought it was junk. And it isn't small either.,"Protesters you say? What are they protesting, the existence of Jewish people?",Something something pestilence sent by Gord to punish Republicans for their evil ways something something.,Headline: “Red Forman Arrested”,what? we’re educating them??
34,"I've seen this article posted several times in several places and it's incredibly frustrating to see many of the comments as someone who has worked in labs.  Obviously the worker shouldn't have touched the breaker.  The greater problem at large is that there was a massive degree of managerial ineptitude that even led to the possibility of this happening.  For one, the freezer was already malfunctioning and had been for a while.  If the contents were worth millions of dollars they absolutely should not have been stored in a faulty unit.  Also, it's fairly standard for a freezer that is not under 24/7 physical surveillance to have an external monitoring system, should the unit shit the bed in off hours.  Unfortunately, this worker is bearing an unfair amount of hate on the Internet for a situation where a large amount of blame ought to be placed on the institution itself.","Couple of drive-by paint balloons would scatter them.

[Nazi Punks Fuck Off](https://youtu.be/TdkdR92a7dU)","As temperature bands move north, so does all the other stuff. Yay.",We have investigated ourselves and found that we did nothing wrong.,Good. Chivalry and respect shouldn’t be based on appearance.
35,"Probably a symptom of institutions outsourcing everything to try and save money. 

A janitor that actually worked for the school directly would probably have the knowledge of the ins and outs of their work location. But then they'd have to spend money on benefits and maybe a pension which is money they need to pay their football coach 40 million dollars.",It wasn't a protest it was a public display of hate speech and racism. Nazis are getting too comfortable in the daylight. We need to fix that.,Why is it when the worst news coming out of the US it’s always you two?!,"Please, ever lowering the bar and making themselves look worse.

Then again, the departments and the cities keep hiring these morons.",Schools with strict dress codes seem to value the code over education.
36,No mention of whether the janitor could read.  The fantastic idea of hiring illiterate people for less money is the recipe for destroying a lot more than frozen cultures.,Fuck these inbred fucks!,Florida and Texas are why America can't have nice things.,Phoenix police handing out retirement plans again?,To promote chivalry? Do the boys wear armor and ride on horses too?
37,"They are suing the company that employed the janitor but it was absolutely his fault. He hit the circuit breakers. There was signage all 
over the fridge. At no point should a janitor be touching circuit breakers.",Being and supporting nazis is antithetical to being a patriot and loving the country. Nazism isn’t compatible with the constitution,God’s punishment for ignoring climate change and being transphobes.,Police can do anything they want and only maybe have to deal with the consequences. I don’t trust police. I trust individuals. As a group the police have told me everything I need to know about them through their actions or lack of action.,"I can't believe this is the shit in front of the supreme court. Fucking religious zealots forcing their bs views on kids. 

Of all of the constitutional issues we face, I'm glad we cleared this one up..."
38,Imagine fucking up on your job so hard it makes the news.,"""A peaceful rally was held at a Jewish Community Center in Marietta on Saturday evening."" 
Not the quote I would put on a video about nazis but ok",Of course it’s those two states.,"I remain amazed at the stupidity and brutality of some police officers. With all the training available, it is incomprehensible to me that officers continue to act in ways like those described in the article. There is no excuse, and they should be fired.",really fucken weird how they’re determined to ensure that girls’ legs are on display.
39,"A former job I was working at the Janitor could not understand why the server room was running AC, so he turned it off on a weekend in the middle of summer.

Needless to say Monday was fun as the on-prem exchange server was hosed as well as many other things. Ironically that incident sparked their move to actually move the servers off-site to a purpose built server facility, than a back section of the office.","‘Protesters with nazi flags’ so, Nazis then","Thanks, DeSantis. Thanks, Abbott.",">Phoenix police policy states that “physical force will not be used to obtain fingerprints.”

>But in an internal review of the incident, supervisors found that the use of force was justified.

Hahahahahahahah. The biggest gang in America will always protect its own.","From the article: ""the dress code was intended to promote “chivalry” by the male students""....

""Chivalry"" ????

How the fuck does a skirt promote chivalry in male students? That's the most antiquated and unbridled stupidity I've read in the news in a long, long time. I mean, this isn't from the old days, this is from the Middle Ages!"
40,"This happened to me in 2005. I got a page that one of my freezers was out of range and went to CO2 backup. 

I called facilities and headed to campus. 

I get down the the bank of freezers in the basement to find a swarm of us flipping out because two guys misunderstood the manner in which freezers would be moved to the new campus. 

I suppose the positive was the lesson in analyzing samples that were freeze/thawed. 

Was just my thesis in those freezers. There were many tears shed that day. 

People aren’t trained. They have concept of the repercussions of a tiny mistake nor do they usually care.",If only we had a name for “protestors with nazi flags” gosh.,Fuck Texas and Florida. Fucking ass backward states inflicting their pain on everyone. FUCK YOU!,If the continuous string of unaccountable police misconduct bothers you then should consider signing this petition to end the qualified immunity those assholes are able to hide behind to be shielded from any liability. https://www.change.org/p/united-states-supreme-court-end-qualified-immunity-45a5ea6b-28b8-4108-afc1-7e7477840660,"I think about the skirt and its discomfort often. What is a skirt, other than an article of clothing which offers easy access to the private areas of one's body? They are just... Open underneath. You have to make an effort to continuously cover yourself- sitting a certain way, holding it down when it's windy. Why do we make children wear it?"
41,At least the janitor himself isn't being sued. It definitely falls to the company that was responsible for his training.,How is this a protest?,I’m sure the GOP will acknowledge this began in two red states /s,Insulting an official is sueable in Europe. About 200€ Fine,"From what I can tell from the article, I don't think the court went far enough. The ruling should have been to allow both genders access to the same clothing options. It's not fair that boys aren't allowed to wear skirts."
42,"That's what happens when companies fire in-house staff and contract it out to the lowest cost outsourcing company.

Not the janitors fault, his company likely treated him very poorly.

Meanwhile, there's an unlimited budget for university executives to be paid millions in salaries/bonuses.","You know, there are benefits to have some limitations on freedom of expression/free speech.",Is there a tasteful way to phrase “I’m glad the destructive fascists accelerating climate change are thus far among the first to be affected?”,Two of these officers are on The Brady list I have a personal interest in Phoenix PD since they murdered my sister. She was brandishing a wooden spoon a shot or twice in her kitchen. Then they tasered her after she was dead only problem was one of the tasers went into the bottom of her foot kind of ruined it for their little get away with murder game. The home had wooden slat fencing and the cops were out back and so were the neighbors . The neighbors talked about how they were fabricating a story to make her look real dangerous all 108 lb of her they finally settled for a little over 3 mil haven't seen her kids since her husband died a year later.,Charter schools being extremely religious and misogynistic?? Whaaaaaat? I’m sure the parents had NO idea when they signed their kids up for this shit….
43,"In the article it says that the janitor was able access the the freezers circuit breaker and switch it off, thus turning off power to the freezer.
When you work in critical infrastructure no one other than authorized personnel can have access to the electrical room, let alone actual breakers. In my opinion this lawsuit will be thrown out.","""protesters""

Weird way to spell 'cunts'",I’m not religious but I think God is trying to say something,Dumb implies not knowing any better; these cops were stupid asses.,And if Republicans have their way…your tax dollars will go towards paying for this stupid shit.
44,"There's a 2nd part to Lock Out called Tag Out. You ""Lock"" the electrical junction you're using and ""Tag"" the circuit breaker it is attached to. 
  
The University failed to follow a basic safety protocol when they locked out the electrical box/alarms of the freezer but did not tag out the breaker. As basic as ""don't put bleach in unmarked bottles"".",As a Jew what’s the policy with whooping their asses?,Maybe bleach in the veins might do good,"Fun fact in Germany, you will get sued if you call a cop or anyone a dumbfuck or asshole. It's a joke, but they do it, and you can get up to 30-60 days worth of your salary as punishment.",Imagine being the type of person willing to go all the way to the Supreme Court to force little girls to wear skirts.
45,"I work in a lab. Not only do you measure the cost of the lost goods, but time loss to. All work has to stop to get new testing material, if it’s even possible. Some projects are measuring the shelf life of something will have to be restarted. It’s a shit show.","Most of us learned about Nazis in history class, before seeing them in public.

Today’s kids will have the unique experience of seeing them in public, before learning in school what they stand for.

I can’t imagine that will be positively sustaining.",Texas and Florida? I'm honestly not surprised,Making citizens rich. One arrest at a time.,What a creepy rule to push
46,As a PhD student this is my nightmare,Protesters? Protesting what? The existence of Jewish people? Isn't that just intimidation and harassment?,The anti vaxers are gonna be so fucked with this climate change future.,"Piggin, Piggin, Piggin in a herd",Can't force girls to wear skirts but can take away their right to proper health care with respect to abortions. Thanks Supreme Court for being so consistent.
47,Good Will Hunting 2: It’s Your Fault,At least they were unmasked so they can be identified and publicly shamed.,"Florida. Texas. 3rd world style malaria. Huh, that's hard to believe is happening in America? Maybe the CDC or other federal government based agencies can help our United States? Nope. The Confederate states will be just fine doing their own thing...and so it goes.","Not a useful comment here by any means, but I just want to point out the order this appeared in my dashboard:

https://imgur.com/a/GMD4Ptc?

Yeah, America (and honestly the world right now) is fucked.",Y'all Qaeda missed the mark with this one.
